container_1517523693559_0047_01_000627, Thu Feb 01 16:04:48 MST 2018, 1517526288576, 1517526289578, 1517526294243
container_1517523693559_0048_01_000054, Thu Feb 01 16:04:26 MST 2018, 1517526266222, 1517526267400, 1517526294268
container_1517523693559_0048_01_000055, Thu Feb 01 16:04:26 MST 2018, 1517526266255, 1517526267257, 1517526294268
container_1517523693559_0048_01_000057, Thu Feb 01 16:04:26 MST 2018, 1517526266237, 1517526267440, 1517526294268
container_1517523693559_0048_01_000061, Thu Feb 01 16:04:26 MST 2018, 1517526266352, 1517526267354, 1517526294268
container_1517523693559_0048_01_000062, Thu Feb 01 16:04:26 MST 2018, 1517526266380, 1517526267381, 1517526294269
container_1517523693559_0048_01_000063, Thu Feb 01 16:04:26 MST 2018, 1517526266453, 1517526267508, 1517526294269
container_1517523693559_0048_01_000090, Thu Feb 01 16:04:26 MST 2018, 1517526266393, 1517526267393, 1517526294269
container_1517523693559_0048_01_000092, Thu Feb 01 16:04:26 MST 2018, 1517526266362, 1517526267364, 1517526294269
container_1517523693559_0048_01_000093, Thu Feb 01 16:04:26 MST 2018, 1517526266408, 1517526267417, 1517526294269
container_1517523693559_0047_01_000605, Thu Feb 01 16:04:49 MST 2018, 1517526289582, 1517526290584, 1517526295245
container_1517523693559_0047_01_000607, Thu Feb 01 16:04:49 MST 2018, 1517526289552, 1517526290553, 1517526295245
container_1517523693559_0047_01_000625, Thu Feb 01 16:04:49 MST 2018, 1517526289573, 1517526290575, 1517526295245
container_1517523693559_0047_01_000628, Thu Feb 01 16:04:49 MST 2018, 1517526289598, 1517526290599, 1517526295246
container_1517523693559_0047_01_000630, Thu Feb 01 16:04:49 MST 2018, 1517526289592, 1517526290593, 1517526295246
container_1517523693559_0047_01_000642, Thu Feb 01 16:04:49 MST 2018, 1517526289476, 1517526290477, 1517526295246
container_1517523693559_0047_01_000643, Thu Feb 01 16:04:49 MST 2018, 1517526289476, 1517526290477, 1517526295247
container_1517523693559_0047_01_000644, Thu Feb 01 16:04:49 MST 2018, 1517526289493, 1517526290494, 1517526295247
container_1517523693559_0047_01_000645, Thu Feb 01 16:04:49 MST 2018, 1517526289500, 1517526290501, 1517526295247
container_1517523693559_0047_01_000646, Thu Feb 01 16:04:49 MST 2018, 1517526289514, 1517526290515, 1517526295247
container_1517523693559_0047_01_000647, Thu Feb 01 16:04:49 MST 2018, 1517526289519, 1517526290520, 1517526295247
container_1517523693559_0047_01_000648, Thu Feb 01 16:04:49 MST 2018, 1517526289521, 1517526290521, 1517526295247
container_1517523693559_0047_01_000649, Thu Feb 01 16:04:49 MST 2018, 1517526289521, 1517526290522, 1517526295247
container_1517523693559_0047_01_000651, Thu Feb 01 16:04:49 MST 2018, 1517526289543, 1517526290544, 1517526295248
container_1517523693559_0048_01_000060, Thu Feb 01 16:04:27 MST 2018, 1517526267343, 1517526268344, 1517526295273
container_1517523693559_0048_01_000065, Thu Feb 01 16:04:27 MST 2018, 1517526267327, 1517526268329, 1517526295273
container_1517523693559_0048_01_000066, Thu Feb 01 16:04:27 MST 2018, 1517526267307, 1517526268309, 1517526295273
container_1517523693559_0048_01_000067, Thu Feb 01 16:04:27 MST 2018, 1517526267363, 1517526268365, 1517526295274
container_1517523693559_0048_01_000068, Thu Feb 01 16:04:27 MST 2018, 1517526267381, 1517526268383, 1517526295274
container_1517523693559_0048_01_000069, Thu Feb 01 16:04:27 MST 2018, 1517526267451, 1517526268451, 1517526295274
container_1517523693559_0048_01_000072, Thu Feb 01 16:04:27 MST 2018, 1517526267360, 1517526268361, 1517526295274
container_1517523693559_0048_01_000089, Thu Feb 01 16:04:27 MST 2018, 1517526267375, 1517526268376, 1517526295275
container_1517523693559_0048_01_000091, Thu Feb 01 16:04:27 MST 2018, 1517526267333, 1517526268334, 1517526295275
container_1517523693559_0048_01_000094, Thu Feb 01 16:04:27 MST 2018, 1517526267440, 1517526268440, 1517526295275
container_1517523693559_0048_01_000096, Thu Feb 01 16:04:27 MST 2018, 1517526267405, 1517526268406, 1517526295275
container_1517523693559_0048_01_000097, Thu Feb 01 16:04:27 MST 2018, 1517526267400, 1517526268401, 1517526295275
container_1517523693559_0048_01_000098, Thu Feb 01 16:04:27 MST 2018, 1517526267440, 1517526268442, 1517526295275
